contract_id,clause_text,clause_type,answer
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,"Notwithstanding anything to the contrary in this Agreement and in furtherance of continuing qualification under the QFCP-RC Tariff, in the event of the early termination of this Agreement pursuant to Article 4 hereof, BE and Operator agree to use commercially reasonable efforts to cooperate with Owner to facilitate Owner<omitted>entering into a new agreement with a third party operator governing operation and maintenance services to be provided to Owner on terms substantially similar to the terms of this Agreement, so that such replacement Operator shall be deemed a QFCP. Throughout the Term, and thereafter to the extent relevant to calculations necessary for periods prior to the end of the Term and subject to any confidentiality obligation owed to any third party and/or any restrictions on the disclosure of information which may be subject to intellectual property rights restricting disclosure:

(a) Owner shall grant Operator access to all data relating to the electricity production of each Bloom System, it being understood that it is Operator's responsibility to determine the performance of the Bloom System, and any other calculations as required under this Agreement, and that it is Owner's responsibility to handle all accounting and invoicing activities; and

(b) Owner shall allow Operator access to all data from all Facility Meters.",Post-Termination Services,Yes
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,"In the event of termination of this Agreement or a cancellation of a Purchase Order, and/or discontinuance of a Product, or excess materials created by an Engineering Change, Customer agrees to compensate Contractor for unused material inventory which are affected by such termination, cancellation or discontinuance",Post-Termination Services,Yes
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,"Kitov shall be entitled to sell or otherwise dispose of its remaining stock of the Product until the end of the inventory's shelf life. In the event of Product which Kitov claims have Apparent Defects or Hidden Defects, Dexcel shall have up to thirty (30) Working Days after receipt of the samples to show that the Product in question meets the Specifications (""Period"").",Post-Termination Services,Yes
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,"Upon termination of this Agreement by Customer in whole or in part or upon the termination of any Facility Addendum, in each case, pursuant to Section 7.3, 7.4, 7.5 or 7.6, and on a terminated-Product-by-terminated-Product basis, at Customer's option and pursuant to Customer's instructions, Manufacturer shall provide Customer with sufficient inventory of such terminated Product to ensure business continuity according to then-current terms and pricing (subject to Section 3) until the earlier of: (i) Customer's identification of, and securing of Regulatory Approval for, another supplier of such terminated Product or (ii) unless otherwise set forth in the applicable Facility Addendum as the ""Inventory Tail Period"" for such Product, a time period that reflects Customer's reasonable needs of such Product as mutually agreed upon by the Parties in good faith. In the event of the expiration of this Agreement or termination of this Agreement in whole or in part (including the termination of any Facility Addendum) by Customer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer may, at its option within ninety (90) days immediately following the effective date of the expiration or termination of this Agreement, purchase any work in process and/or Product Materials that Manufacturer has purchased exclusively for Customer in accordance with this Agreement for the production of any terminated Product. Any Product quarantined at the time of expiration or termination of this Agreement shall be disposed of or destroyed by Manufacturer in accordance with Customer's instructions and at Customer's cost; provided that, to the extent (i) such quarantine is the result of Manufacturer's gross negligence, fraud, willful misconduct or breach of this Agreement or (ii) this Agreement is terminated in whole or in part with respect to such Product (including the termination of the applicable Facility Addendum) by Customer in accordance with Section 7.3, 7.4, 7.5 or 7.6, then Manufacturer shall be responsible for all costs incurred by Manufacturer in connection with disposing and destroying such quarantined Product. The Parties shall reasonably cooperate and mutually agree to facilitate the provision of any additional reasonable Technical Support with respect to the applicable Product or Products to Customer, including assistance through the transfer process, Manufacturer Personnel visits to the Receiving Site and training and troubleshooting during the Receiving Site's first production run of the applicable Product or Products, in each case, as and to the extent reasonably agreed by Manufacturer in each instance (and subject to Sections 2.10(d), 2.10(e) and 2.10(f)). In the event of the termination of this Agreement by Customer in accordance with Section 7.7 or the termination of this Agreement by Manufacturer in accordance with Section 7.3, 7.4, 7.5 or 7.6, Customer shall purchase at cost all Product Materials purchased in accordance with Customer's Purchase Orders and on reasonable reliance upon Customer's Forecast; provided that Manufacturer uses its reasonable commercial efforts to exhaust existing stocks of such Product Materials prior to the date of<omitted>termination. In the event that Manufacturer or any of its Affiliates, directly or indirectly, sells, assigns, leases, conveys, transfers or otherwise disposes of any Facility (a ""Facility Disposition""), then Manufacturer shall immediately notify Customer of such event and Customer shall be entitled for a period of six (6) months after the receipt of such notice to terminate any Facility Addendum with respect to such Facility for cause immediately upon written notice to Manufacturer and, in the event Customer decides not to terminate the Facility Addendum for cause, Customer shall be entitled for a period of two (2) years (or such longer period in order to obtain approval for manufacture from all applicable Governmental Authorities) after<omitted>receipt of such notice to receive Technical Support at Manufacturer's sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition. Upon termination or expiration of this Agreement in whole or in part or any Facility Addendum, if requested by Customer within ninety (90) days immediately following the effective date of such expiration or termination of this Agreement and pursuant to Customer's reasonable request and instructions, Manufacturer shall use commercially reasonable efforts to, as applicable, make assignments or partial assignments of such material contracts, licenses, permits, and other material documents, as applicable, in each case subject to any restrictions on assignment, or as may otherwise be set forth in any Contract relating thereto.",Post-Termination Services,Yes
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,"During the term and for a period of three (3) years following the termination or expiration of this Agreement, the Reseller shall maintain complete books of accounts and records consistent with sound business and accounting principles and practices consistently applied.",Post-Termination Services,Yes
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,In the event of a termination in accordance to clause 5.2 it is agreed that both parties agree to unwind and minimize costs and exit the JSMA as soon as practicably possible not exceeding 120 days.,Post-Termination Services,Yes
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,"Upon termination of this Agreement pursuant to this ARTICLE 11, for all Customer Contracts then in force in the Territory, MMT shall either (i) promptly exercise its rights to terminate such Customer Contracts pursuant to termination rights accruing from the occurrence of a termination of this Agreement or otherwise or (ii) upon timely written request of SIGA, use Commercially Reasonable Efforts to assign any Customer Contract identified in such notice then in force to SIGA. Promoter will maintain a record of each Safety Report received, including relevant source documents, and a record of each Safety Report reported to SIGA for a minimum period of ten (10) years after the expiration or termination of this Agreement and, if requested, will provide these and any other information requested by SIGA.",Post-Termination Services,Yes
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,"During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.",Post-Termination Services,Yes
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,"In addition to the foregoing, if, at the time of termination of this Agreement, Reseller shall have additional Product units in its inventory and is able to sell them to Customers and/or End Users (including, without limitation, any Product units for which Reseller has or is obligated to pay the Supplier the purchase price therefor but which have not yet been delivered to the Reseller by Supplier, which Supplier hereby agrees to either deliver as otherwise contemplated by this Agreement as if it had not terminated or to refund the purchase price therefor), then the licenses and appointments described in Section 2 shall remain in effect with respect to such unsold Product units (and such Section 2 shall not terminate) until the earlier of (i) the date on which the last Product in Reseller's inventory is sold to a Customer and/or End User, or (ii) 1 year from the date of the termination of this Agreement.",Post-Termination Services,Yes
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,"Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT's request to CHT's End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services""). Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHT's request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other Party's written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.",Post-Termination Services,Yes
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,"For twenty-four (24) months following termination of this Agreement, the Licensee shall specify on all public- facing materials in a prominent place and in prominent typeface that the Licensee is no longer operating under the Licensed Mark, is no longer associated with the Licensor, or such other notice as may be deemed necessary by the Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.",Post-Termination Services,Yes
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"Upon any termination or expiration of the Term the Parties will cooperate in good faith to promote a smooth customer transition, and in any event, Company will, at ACSI's option, continue to operate the Mirror Company Site and offer Spoken-Word Audio Products through the Spoken-Word Audio Sub-Section in accordance with the terms of this Agreement for a period of up to six (6) months following such termination.",Post-Termination Services,Yes
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,"Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows:

       i)   Excite@Home will email Program Members on e-centives' behalf up                to a maximum of two times. Consistent with other communications                envisioned during the Term of the Agreement, such mailings will                be branded Excite@Home but will alert Program Members that this                Agreement is to be terminated, the Co-Branded Application will<omitted>continue with e-centives branding, and Program Members will                continue as a participant in the e-centives service unless they                explicitly opt out.  The content and copy of such emails shall be                mutually agreed upon.

       ii)  The first email will be exclusive to e-centives (i.e., it will                not mention similar services from Excite@Home or other third                parties) and will alert Program Members of the continuation of                the e-centives service directly from e-centives. Program Members                shall be further alerted that their membership in the e-centives                service shall continue unless they explicitly opt-out.                Excite@Home shall not promote competing services in such contact                or otherwise discourage Program Members from continuing to use                the e-centives service as provided directly by e-centives.

       iii) The second email will not be exclusive to e-centives. It will                include the same e-centives alerts as in the first email, but may                offer a replacement Excite@Home service and a notification that                the Program Member will remain in such an Excite@Home-provided                service unless they specifically opt-out. Excite@Home shall not                discourage Program Members from continuing to use the e-centives                service directly from e-centives, but may offer an additional                choice. It is conceivable that any one end user customer could                use both services.

       iv)  Any such communications will be subject to Excite@Home's                then-current privacy policy. Effects of Termination<omitted>iii) For a period of up to sixty (60) days, Application Provider will           provide consulting services to Excite@Home, as Excite@Home may           reasonably request and for reasonable fees to be paid to Application           Provider, such fees to be agreed upon in writing by the Parties, to           assist Excite@Home in providing a seamless transition to Program           Members. Application Provider will have no obligation to provide such           services to Excite@Home to the extent that Application Provider's           personnel and resources are unavailable in the amounts requested by           Excite@Home or if the Parties are unable in good faith to agree on the           reasonable fees to be paid to Application Provider for such services.           Application Provider will not be required, in the course of providing           such consulting services to Excite@Home, to disclose or transfer to           Excite@Home any proprietary information, software, or Intellectual           Property of Application Provider or any of its merchant partners. To further ensure a seamless transition for Program Members, in the           event of a termination based upon a material breach by e-centives or           an acquisition pursuant to Section 16.a.v. only, Application Provider           shall continue to host and maintain the Co-Branded Application for a           period of one hundred twenty (120) days following either receipt or           issuance of notice of intention to terminate this Agreement. Such           hosting and maintenance of the Co-Branded Application shall be           provided by Application Provider at such reasonable rates as are           mutually agreed upon by the parties.",Post-Termination Services,Yes
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,"If a Termination Notice is sent, the parties shall promptly meet to discuss a phase-out of the Co-Branded Sites and all Links and transfers of Product Listings set forth herein.",Post-Termination Services,Yes
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,"Upon termination of this Agreement,<omitted>(b) VerticalNet shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the PaperExchange Links from Co-Branded Sites and the modification of the Co-Branded Sites, including, but not limited to, the removal of PaperExchange Content; (c) PaperExchange shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the VerticalNet Links, VerticalNet Content and VerticalNet Archived Content from the PaperExchange Site;<omitted>(i) VerticalNet shall retain ownership of the URLs at which the Co-Branded Sites are located, (I) the Co-Branded URLs shall be owned by the party that offers to pay the highest amount to the other for the ownership of such URLs upon payment of such amount to the other party (k) if the agreement is terminated during the Initial Term by VerticalNet pursuant to Section 8.2  [Termination for Cause], (x) VerticalNet shall be released from its obligations under Section 5.8.1  [Non-Competition] and (y) PaperExchange's obligations under Sections 7.2  [Advertising Revenue] and 7.4  [Revenue Sharing] shall be extended for one year after the date of such termination, and (I) if the agreement is terminated during the Initial Term by PaperExchange pursuant to Section 8.2  [Termination for Cause], VerticalNet shall pay to PaperExchange, as liquidated damages, an amount equal to the product determined by multiplying (1) a fraction, the numerator of which shall be the number of days between the effective date of termination and the scheduled expiration date of the Initial Term, and the denominator of which shall be the number of days<omitted>between the Effective Date and the scheduled expiration date of the Initial Term, by (2) *****",Post-Termination Services,Yes
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,"Upon termination or expiration of this Agreement, and upon reasonable prior notice to Network  Affiliate, NCM shall be entitled to enter the Theatres upon reasonable prior written notice, and any other premises of Network Affiliate where any  NCM Property may be located, and recover any and all NCM Property, unless Network Affiliate chooses to purchase such Property based on a  straight line five year depreciated value.",Post-Termination Services,Yes
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,"In the event that Network terminates this Agreement as to a particular Station or several Stations, or in its entirety pursuant to Sections 10(a) or (c), Affiliate shall, within thirty (30) days of termination, at its option either reimburse Network for the cost of all equipment or return such equipment related to such Station(s) that was paid for by Network pursuant to Section 5(b) herein.",Post-Termination Services,Yes
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,"In  the  event  that this contract between Network 1 and Affiliate is terminated for any reason, the Contractors located by Affiliate  shall  remain  Contractors  of  Network  1.",Post-Termination Services,Yes
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,"Upon expiration of this Agreement with respect to a Product in a country, the licenses granted to Aimmune pursuant to this Agreement shall continue in full force and effect on a fully-paid basis. Upon the termination of this Agreement:

14.1.1 all rights and licenses granted to Aimmune hereunder shall immediately terminate and be of no further force and effect and Aimmune shall cease Developing, Commercializing, Manufacturing and Packaging and Labeling such Product in and for all applicable countries; provided, that Aimmune and its Affiliates will be entitled, during the period<omitted>ending on the last day of the [***] following the effective date of such termination, to sell any inventory of Product affected by such termination that remains on hand as of the effective date of the termination, so long as Aimmune pays to Xencor all amounts payable hereunder (including milestones) applicable to said subsequent sales, as applicable, in accordance with the terms and conditions set forth in this Agreement and otherwise complies with the terms set forth in this Agreement.",Post-Termination Services,Yes
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,"Licensee shall, within [***] ([***]) days of the effective date of termination of the Agreement at the latest (and at no cost to Bioeq if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5, or at Bioeq's cost and expense if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8, as applicable) transfer and assign to Bioeq or its designee all of Licensee's right, title and interest in and to any and all Biologics License Applications and Biologics License Application Approvals controlled by Licensee for the Licensed Products in the Field in the Territory as of the effective date of such termination, including any and all documentation pertaining to such filings and Biologics License Application Approvals (provided that the physical or electronic transfer of files and documentation in connection with such transfer and assignment of rights may occur after such [***] ([***]) day period without being deemed a breach of this Section 15.3.2 by Licensee) Licensee shall be permitted, at Bioeq's choice (if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5) or at Licensee's choice (if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8), to cither (a) continue selling its and its Affiliates' inventory of Licensed Products existing on the termination effective date in accordance with this Agreement for a maximum period of [***] ([***]) days (in which case all terms and conditions of this Agreement, including Licensee's obligation to report and pay royalties, shall continue to apply to such continued sale) or (b) sell such inventory to Bioeq at the supply price paid by Licensee to Bioeq for such inventory in accordance with the Manufacturing and Supply Agreement. Licensee shall (at no cost to Bioeq if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5, or at Bioeq's cost and expense if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8, as applicable) use Commercially Reasonable Efforts to cooperate with Bioeq or its designee, and provide [***] reasonable assistance and support, to [***] Bioeq or its designee to take over the Commercialization of the Licensed Products in the Field in the Territory [***] following the effective date of such termination, including by (a) using Commercially Reasonable Efforts to provide [***], (b) disclosing and assigning (to the extent permitted under the relevant agreement) to Bioeq Licensee's existing agreements relating solely to the Commercialization of the Licensed Product in the Territory, including with [***], to the extent legally possible ([***]) and (c) transferring Licensed Product- specific marketing materials, including [***].",Post-Termination Services,Yes
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,"If AbbVie terminates this Agreement with respect to a country or other jurisdiction, or in its entirety pursuant to Section 12.3, AbbVie shall have the right for at least [***] and no more than [***], which period shall be determined by Harpoon in its sole discretion, after the effective date of such termination with respect to such country or other jurisdiction to sell or otherwise dispose of all Licensed Compound or Licensed Product then in its inventory and any in-progress inventory, in each case that is intended for sale or disposition in such country or other jurisdiction, as though this Agreement had not terminated with respect to such country or other jurisdiction, and such sale or disposition shall not constitute infringement of Harpoon's or its Affiliates' Patent or other intellectual property or other proprietary rights. The insurance policies shall be under an occurrence form, but if only a claims-made form is available to a Party, then such Party shall continue to maintain such insurance after the expiration or termination of this Agreement for the longer of (a) a period of [***] following termination or expiration of this Agreement in its entirety, or (b) with respect to a particular Party, [***] by a Party.",Post-Termination Services,Yes
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,"Upon the expiration or termination of the Term (other than in connection with a Sale Transaction in which Sekisui acquires Qualigen), Sekisui shall cooperate in permitting Qualigen to offer to rehire any Sekisui sales representatives who are primarily responsible for selling the Products. A sales person ""primarily responsible for selling the Products"" is one that spends more than half of his or her time and receives more than half of his or her commission based compensation based on sales of the Products.",Post-Termination Services,Yes
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,"Upon termination (but not expiration) of this Agreement for any reason, Licensee shall be entitled to use the Licensed Domain Names and  Licensed Content for a limited period of time, not to exceed ninety (90) days, during which it shall diligently work to transition to another solution.",Post-Termination Services,Yes
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,"In the event that Distributor terminates this Agreement pursuant to either Section 7.2 or 7.3 above, Distributor will notify Subscribers that the Programming is no longer available.",Post-Termination Services,Yes
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,"Upon any expiration or termination of this Agreement, Emdeon shall have a reasonable period of time to remove the Content from the Software",Post-Termination Services,Yes
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,"Company Obligations. (i) Immediately cease all representation of an existing relationship with Distributor; (ii) All medication inventory is owned by Smart RX Systems, Inc. only; and (iii) Distributor shall continue to receive Net Income per Customer location for so long as Customer continues to utilize the Products.",Post-Termination Services,Yes
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,"Unless this Agreement is terminated by Zogenix under Section 12.2(c), Distributor shall use Commercially Reasonable Efforts to cooperate with Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination. Unless this Agreement is terminated by Zogenix under Section 12.2(c), at the written request of Zogenix, Distributor shall assign to Zogenix any Product-specific Third Party agreements, to the furthest extent possible, provided that such assignment is permitted under the Product-specific agreement or is otherwise agreed by the applicable Third Party. Unless this Agreement is terminated by Zogenix under Sections 12.2(f), (g)(i), (h)(ii), (j)(ii), or (j)(iii), or by Distributor under Sections 12.2(d), (g), or (l), or terminated automatically under Section 12.2(k), Distributor shall continue, to the extent that Distributor continues to have Product inventory, to fulfill orders received from customers for Product in the Territory until up to [***] after the date on which Zogenix notifies Distributor in writing that Zogenix has secured an alternative distributor for the Product in the Territory, but in no event for more for than [***] after the effective date of termination. Unless this Agreement is terminated by Zogenix under Section 12.2(c), at Zogenix's option, which shall be exercised by written notice to Distributor, to the extent permitted under Applicable Laws, Distributor shall assign or cause to be assigned to Zogenix or its designee (or to the extent not so assignable, Distributor shall take all reasonable actions to make available to Zogenix or its designee the benefits of), at Zogenix's cost, all Regulatory Filings and Regulatory Approvals for the Product in the Field in the Territory. In the event that Zogenix terminates this Agreement pursuant to Section 12.2(c) or Distributor terminates this Agreement pursuant to Section 12.2(d), or after the expiration of this Agreement in accordance with Section 12.1, Zogenix shall negotiate in good faith with Distributor a license agreement for Distributor to make, use and sell the Product in the Field in the Territory under the Zogenix Technology, Zogenix Trademarks and the Product Trademarks. Within [***] after receipt of such cessation request, Distributor shall provide Zogenix an estimate of the quantity and shelf life of all Product remaining in Distributor's or its Affiliates' or Sub-distributors' inventory, and Zogenix shall have the right to purchase any such quantities of Product from Distributor at a price mutually agreed by the Parties.",Post-Termination Services,Yes
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"Upon and after the termination of this Agreement (the ""Termination Date""):<omitted>(g) If so requested by Client in connection with a planned or potential continuation of the business, EFS shall  cooperate with Client and its affiliates in order to transfer any remaining operations to them or any other entity that Client may so  designate without interruption of the Playboy Commerce Business' availability. As of the Termination Date, EFS shall not process any new orders placed through the  Playboy Commerce Business. Notwithstanding the foregoing, EFS may fulfill any outstanding orders placed through the Playboy  Commerce Business prior to the Termination Date and may continue collection activities related thereto, which shall be subject to  Section 6 hereof.",Post-Termination Services,Yes
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,"Except for a termination of this Agreement resulting from Distributor's breach of Section 9.0 (Proprietary Rights and Software Licensing) or Section 19.0(Confidential Information), upon termination or expiration of this Agreement, Distributor may continue to use, in accordance with the terms and conditions of this Agreement, Products shipped to it by Cisco prior to the date of termination or expiration. In the event of termination by Cisco for convenience, termination by Distributor for Cisco's material breach, or expiration of this Agreement where Cisco has provided Distributor with written notice from an authorized representative of its intention not to renew the Agreement, Cisco agrees to repurchase all Product in Distributor's inventory within [*****] days following the effective date of termination or expiration. Cisco agrees to repurchase all Product in Distributor's inventory within [*****] days following the effective date of termination or expiration. Within [*****] days following the effective date of termination or expiration, Distributor shall return to Cisco all Product held in inventory as of the effective date of termination.",Post-Termination Services,Yes
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf,"If elected pursuant to the Agreement, Developer will provide Client Termination Assistance Services at an hourly rate of $[125.00 per hour]. In the event of a termination or expiration of this Agreement or any SOW for any reason, developer will, as requested by and at additional cost to Client, provide up to three (3) months of Fee billable assistance (collectively, the Termination Assistance Services) in transitioning from Developer to an alternative software service provider including, without limitation, the following: (a) knowledge transfer regarding the operation, use, and support of the subject Program; return of all documentation containing Content, Marks, Procedures a d Confidential Information in a format reasonably specified by Client and assistance with data migration to an alternative solution; and (c) any related additional services as requested by Client.",Post-Termination Services,Yes
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,"In addition, Premier shall purchase all Products and ingredients, packaging and material Heritage has on hand and not previously billed to Premier at the time of the termination that are used solely for the production of the Products, if any exist.",Post-Termination Services,Yes
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","Consultant agrees to keep and maintain adequate, current, accurate, and authentic written records of all Inventions made by Consultant (solely or jointly with others) during the term of this Agreement, and for a period of three (3) years thereafter.",Post-Termination Services,Yes
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants",Post-Termination Services,Yes
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,"Except in the event of termination for Customer's breach, eGain shall provide Customer with an electronic copy of the final Reports (covering the month just prior to termination of this Agreement).",Post-Termination Services,Yes
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,"To the extent that there is Merchandise remaining at the Sale Termination Date (the ""Remaining Merchandise""), such Remaining Merchandise shall be deemed automatically transferred to Agent free and clear of all liens, claims, and encumbrances. Agent and its affiliates shall be authorized to sell or otherwise dispose of the Remaining Merchandise with all logos, brand names, and other Intellectual Property intact, and shall be authorized to advertise the sale of the Remaining Merchandise using the Intellectual Property.",Post-Termination Services,Yes
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF","to deliver to Client, upon termination or expiration of this Agreement, all materials which were provided to CRO under the terms of this Agreement and which relate to the business of, or belong to, Client or which were provided by Client for the use of its employees, contractors or consultants;",Post-Termination Services,Yes
